code,city code,name
IXL,IXL,Leh
IXM,IXM,Madurai
IXR,IXR,Ranchi
IXS,IXS,Silchar
IXU,IXU,Aurangabad
IXY,IXY,Kandla
IXZ,IXZ,Port Blair
IYK,IYK,Inyokern
IZO,IZO,Izumo
JAC,JAC,Jackson Hole
JAI,JAI,Jaipur
JAL,JAL,Jalapa
JAN,JAN,Jackson-Evers International
JAX,JAX,Jacksonville International
JDH,JDH,Jodhpur
JDO,JDO,Juazeiro Do Norte
JDZ,JDZ,Jingdezhen
JED,JED,King Abdulaziz International
JER,JER,Jersey
JFK,NYC,John F Kennedy International
JGA,JGA,Jamnagar
JGN,JGN,Jiayuguan
JGS,JGS,Ji An
JHB,JHB,Sultan Ismail
JHG,JHG,Jinghong
JHM,JHM,Lahania-kapalua
JIB,JIB,Djibouti-Ambouli International
JIJ,JIJ,Jijiga
JIM,JIM,Jimma
JIU,JIU,Jiujiang
JJN,JJN,Quanzhou
JKH,JKH,Chios
JLN,JLN,Joplin
JLR,JLR,Jabalpur
JMK,JMK,Mykonos
JMS,JMS,Jamestown
JMU,JMU,Jiamusi
JNB,JNB,OR Tambo International
JNG,JNG,Jining
JNU,JNU,Juneau International
JNZ,JNZ,Jinzhou
JOE,JOE,Joensuu
JOG,JOG,Yogyakarta
JOI,JOI,Joinville
JOS,JOS,Jos
JPA,JPA,Joao Pessoa
JRO,JRO,Kilimanjaro International
JSH,JSH,Sitia
JSI,JSI,Skiathos
JST,JST,Johnstown
JTR,JTR,Thira
JUB,JUB,Juba
JUJ,JUJ,Jujuy
JUL,JUL,Juliaca
JUZ,JUZ,Quzhou
JYV,JYV,Jyvaskyla
JZH,JZH,Jiuzhaigou
KAD,KAD,Kaduna
KAN,KAN,Kano Mallam Aminu International
KAO,KAO,Kuusamo
KBL,KBL,Kabul International
KBP,IEV,Boryspil
KBR,KBR,Kota Bahru
KBV,KBV,Krabi
KCA,KCA,Kuqa
KCH,KCH,Kuching International
KCM,KCM,Kahramanmaras
KCT,KCT,Koggala
