name,code,city_code,state_code,country_code
Bimini North Seaplane Base,NSB,,BS-BI,BS
Blairsville,BSI,,US-PA,US
Bensbach Airport,BSP,,PG-WPD,PG
Besakoa Airport,BSV,,MG-M,MG
Bulolo Airport,BUL,,PG-MPL,PG
Bolovip Airstrip,BVP,,PG-WPD,PG
Esperadinha Airport,BVR,,CV-S,CV
Hukuntsi Airport,HUK,,BW-KG,BW
Bawan Airport,BWJ,,PG-MPL,PG
Bewani Airport,BWP,,PG-SAN,PG
Blue Lagoon Seaplane Base,BXL,,FJ-W,FJ
Bunsil Airport,BXZ,,PG-MPL,PG
Boundary Airport,BYA,,US-AK,US
Bella Yella Airport,BYL,,LR-LO,LR
Beira Lake Seaplane Base,BYV,,LK-1,LK
Belmopan Airport,BCV,,BZ-CY,BZ
Big Creek Airport,BGK,,BZ-SC,BZ
Caye Caulker Airport,CUK,,BZ-BZ,BZ
Caye Chapel Airport,CYC,,BZ-BZ,BZ
Corozal Municipal Airport,CZH,,BZ-CZL,BZ
Dangriga Airport,DGA,,BZ-SC,BZ
Independence Airport,INB,,BZ-SC,BZ
Melinda Airport,MDB,,BZ-SC,BZ
Orange Walk Airport,ORZ,,BZ-OW,BZ
Placencia Airport,PLJ,,BZ-SC,BZ
Punta Gorda Airport,PND,,BZ-TOL,BZ
Sartaneja Airport,SJX,,BZ-CZL,BZ
San Pedro Airport,SPR,,BZ-CY,BZ
Matthew Spain Airport,SQS,,BZ-CY,BZ
Santa Cruz Airport,STU,,BZ-CZL,BZ
Silver Creek Airport,SVK,,BZ-SC,BZ
Belize City Municipal Airport,TZA,BZE,BZ-BZ,BZ
Bazaruto Island Airport,BZB,,MZ-I,MZ
Bemolanga Airport,BZM,,MG-M,MG
Buzzards Point Seaplane Base,BZS,,US-DC,US
Blissville Airport,YYS,,CA-NB,CA
Deception Airport,YGY,,CA-QC,CA
Germansen Landing Airport,YGS,,CA-BC,CA
Lady Franklin Point Airport,YUJ,,CA-NU,CA
Lupin Airport,YWO,,CA-NU,CA
Moose Lake Airport,YAD,,CA-MB,CA
Mould Bay Airport,YMD,,CA-NT,CA
Paradise River Airport,YDE,,CA-NL,CA
Rivers Airport,YYI,,CA-MB,CA
Saglek Airport,YSV,,CA-NL,CA
Terrace Bay Airport,YTJ,,CA-ON,CA
Winisk Airport,YWN,,CA-ON,CA
Stuart Island Airstrip,YRR,,CA-BC,CA
Mary River Aerodrome,YMV,,CA-NU,CA
Bedwell Harbour Seaplane Base,YBW,,CA-BC,CA
Tofino Harbour Seaplane Base,YTP,,CA-BC,CA
Bronson Creek Airport,YBM,,CA-BC,CA
Alice Arm/Silver City Seaplane Base,ZAA,,CA-BC,CA
Nanaimo Harbour Water Airport,ZNA,,CA-BC,CA
Trail Airport,YZZ,,CA-BC,CA
Merritt Airport,YMB,,CA-BC,CA
Campbell River Seaplane Base,YHH,,CA-BC,CA
Whistler/Green Lake Water Aerodrome,YWS,,CA-BC,CA
Bamfield Seaplane Base,YBF,,CA-BC,CA
Big Bay Seaplane Base,YIG,,CA-BC,CA
Chilko Lake (Tsylos Park Lodge) Airport,CJH,,CA-BC,CA
Pender Harbour Seaplane Base,YPT,,CA-BC,CA
Ocean Falls Seaplane Base,ZOF,,CA-BC,CA
Courtenay Airpark,YCA,,CA-BC,CA
Creston Valley Regional Airport - Art Sutcliffe Field,CFQ,,CA-BC,CA
Anahim Lake Airport,YAA,,CA-BC,CA
Douglas Lake Airport,DGF,,CA-BC,CA
Fort MacKay/Albian Aerodrome,JHL,,CA-AB,CA
Tahsis Seaplane Base,ZTS,,CA-BC,CA
Duncan Airport,DUQ,,CA-BC,CA
Sechelt-Gibsons Airport,YHS,,CA-BC,CA
Kitkatla Seaplane Base,YKK,,CA-BC,CA
Powell Lake Seaplane Base,WPL,,CA-BC,CA
Port Mcneill Airport,YMP,,CA-BC,CA
Mansons Landing Seaplane Base,YMU,,CA-BC,CA
Mayne Island Seaplane Base,YAV,,CA-BC,CA
Bella Bella/Shearwater Seaplane Base,YSX,,CA-BC,CA
Ganges Seaplane Base,YGG,,CA-BC,CA
Cherrabun Airport,CBC,,AU-WA,AU
Bob Quinn Lake Airport,YBO,,CA-BC,CA
Tungsten (Cantung) Airport,TNS,,CA-NT,CA
Tumbler Ridge Airport,TUX,,CA-BC,CA
Williams Harbour Airport,YWM,,CA-NL,CA
Black Tickle Airport,YBI,,CA-NL,CA
St. Lewis (Fox Harbour) Airport,YFX,,CA-NL,CA
Port Hope Simpson Airport,YHA,,CA-NL,CA
Rigolet Airport,YRG,,CA-NL,CA
George T Lewis Airport,CDK,,US-FL,US
Diavik Airport,DVK,,CA-NT,CA
Doris Lake,JOJ,,CA-NU,CA
